season,model_id,horizon,n,n_relative,truth_as_of,wis,ae_median,wis__log,ae_median__log,wis_scaled_relative_skill,wis_scaled_relative_skill__log,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95
2024-25,FluSight-ensemble,0,1431,1373,2026-07-09,106.511410,148.264850,0.225461,0.327350,0.803174,0.732124,0.898143,0.526205,0.851852
2024-25,UMass-flusion,0,1373,1373,2026-07-09,111.050596,159.060708,0.245210,0.363085,0.816001,0.799779,0.939184,0.353969,0.820102
2024-25,prime-radiant-lgbm,0,1431,1373,2026-07-09,124.631466,161.525507,0.257241,0.362434,0.940882,0.837300,0.978760,0.364081,0.786862
2024-25,prime-radiant-ensemble,0,1431,1373,2026-07-09,129.548156,160.662474,0.271841,0.366937,0.980588,0.890870,0.977044,0.356394,0.814815
2024-25,FluSight-baseline,0,1431,1373,2026-07-09,132.324719,164.378756,0.305985,0.392075,1.000000,1.000000,1.000000,0.264151,0.798742
2024-25,prime-radiant-baseline,0,1431,1373,2026-07-09,156.442310,188.558351,0.344164,0.435662,1.184703,1.129784,1.148801,0.264151,0.790356
2024-25,FluSight-ensemble,1,1431,1373,2026-07-09,150.898963,203.463312,0.307498,0.442931,0.693599,0.658227,0.734595,0.546471,0.827393
2024-25,UMass-flusion,1,1373,1373,2026-07-09,158.680932,210.834073,0.330397,0.487755,0.706165,0.704409,0.736932,0.415149,0.819374
2024-25,prime-radiant-lgbm,1,1431,1373,2026-07-09,172.861882,224.853249,0.326768,0.467427,0.795110,0.698363,0.811125,0.367575,0.775681
2024-25,prime-radiant-ensemble,1,1431,1373,2026-07-09,194.236892,247.261356,0.369033,0.501077,0.894041,0.792740,0.895314,0.396925,0.781971
2024-25,FluSight-baseline,1,1431,1373,2026-07-09,218.088003,277.435360,0.467142,0.604104,1.000000,1.000000,1.000000,0.324948,0.742138
2024-25,prime-radiant-baseline,1,1431,1373,2026-07-09,238.944141,298.373864,0.499974,0.644402,1.096739,1.072953,1.076278,0.322152,0.723969
2024-25,FluSight-ensemble,2,1431,1373,2026-07-09,197.422042,271.216632,0.383331,0.550431,0.647934,0.612778,0.700309,0.510133,0.809923
2024-25,UMass-flusion,2,1373,1373,2026-07-09,201.083127,267.730148,0.395624,0.583243,0.638044,0.629629,0.668548,0.413693,0.824472
2024-25,prime-radiant-lgbm,2,1431,1373,2026-07-09,230.798224,302.908456,0.400993,0.572193,0.758088,0.639811,0.782082,0.336827,0.744934
2024-25,prime-radiant-ensemble,2,1431,1373,2026-07-09,266.650718,341.767994,0.475423,0.641873,0.875614,0.760920,0.884530,0.382949,0.721873
2024-25,FluSight-baseline,2,1431,1373,2026-07-09,305.505081,388.017470,0.626137,0.812481,1.000000,1.000000,1.000000,0.337526,0.693222
2024-25,prime-radiant-baseline,2,1431,1373,2026-07-09,325.297534,407.742837,0.655252,0.850104,1.065455,1.048263,1.051337,0.331936,0.675751
2024-25,FluSight-ensemble,3,1431,1373,2026-07-09,254.877051,346.638714,0.463227,0.658510,0.644208,0.594999,0.699749,0.493361,0.781971
2024-25,UMass-flusion,3,1373,1373,2026-07-09,255.740020,347.369562,0.470767,0.692201,0.624616,0.600274,0.677701,0.407138,0.815004
2024-25,prime-radiant-lgbm,3,1431,1373,2026-07-09,307.328926,389.823201,0.499093,0.691964,0.778187,0.645034,0.787680,0.283019,0.643606
2024-25,prime-radiant-ensemble,3,1431,1373,2026-07-09,354.269920,444.218728,0.606220,0.818025,0.895708,0.780222,0.897917,0.349406,0.656883
2024-25,FluSight-baseline,3,1431,1373,2026-07-09,396.598792,496.331237,0.779800,1.010397,1.000000,1.000000,1.000000,0.339623,0.641509
2024-25,prime-radiant-baseline,3,1431,1373,2026-07-09,416.871035,516.129979,0.807434,1.044482,1.051604,1.036653,1.040258,0.336827,0.628931
2024-25,FluSight-ensemble,all,5724,5492,2026-07-09,177.427366,242.395877,0.344879,0.494806,0.675447,0.632870,0.731750,0.519043,0.817785
2024-25,UMass-flusion,all,5492,5492,2026-07-09,181.638668,246.248623,0.360499,0.531571,0.669395,0.658977,0.719766,0.397487,0.819738
2024-25,prime-radiant-lgbm,all,5724,5492,2026-07-09,208.905125,269.777603,0.371024,0.523504,0.796254,0.681904,0.814591,0.337876,0.737771
2024-25,prime-radiant-ensemble,all,5724,5492,2026-07-09,236.176421,298.477638,0.430629,0.581978,0.900171,0.792866,0.903248,0.371419,0.743885
2024-25,FluSight-baseline,all,5724,5492,2026-07-09,263.129149,331.540706,0.544766,0.704764,1.000000,1.000000,1.000000,0.316562,0.718903
2024-25,prime-radiant-baseline,all,5724,5492,2026-07-09,284.388755,352.701258,0.576706,0.743662,1.081659,1.060816,1.064463,0.313767,0.704752
